file,index,ground_truth,predicted,confidence,evidence_type,inference_time
result_0.json,0,0,0,High,text_evidence,15.691223859786987
result_1.json,1,1,1,High,text_evidence,12.87933897972107
result_10.json,10,0,0,High,text_evidence,8.757560729980469
result_1000.json,1000,0,0,High,text_evidence,20.258106231689453
result_1001.json,1001,1,1,High,text_evidence,14.478414535522461
result_1002.json,1002,0,1,High,text_evidence,18.872076511383057
result_1003.json,1003,1,1,High,text_evidence,9.210452795028687
result_1004.json,1004,0,0,High,image_evidence,10.252697229385376
result_1005.json,1005,1,1,High,text_evidence,11.605046272277832
result_1006.json,1006,0,0,High,text_evidence,20.38429307937622
result_1007.json,1007,1,1,High,text_evidence,14.709853410720825
result_1008.json,1008,0,0,High,text_evidence,11.046233415603638
result_1009.json,1009,1,1,High,text_evidence,9.496575832366943
result_1012.json,1012,0,0,High,text_evidence,16.02541160583496
result_1013.json,1013,1,1,High,image_evidence,16.409339427947998
result_1014.json,1014,0,0,High,image_evidence,17.417510509490967
result_1015.json,1015,1,1,High,text_evidence,16.761420488357544
result_1016.json,1016,0,0,High,text_evidence,11.846860885620117
result_1017.json,1017,1,1,High,text_evidence,14.146859645843506
result_1018.json,1018,0,0,High,image_evidence,12.47569227218628
result_1019.json,1019,1,1,High,text_evidence,12.468798160552979
result_102.json,102,0,0,High,image_evidence,7.471142768859863
result_1020.json,1020,0,0,High,text_evidence,16.41000771522522
result_1021.json,1021,1,1,High,text_evidence,12.960088014602661
result_1022.json,1022,0,1,High,text_evidence,17.086671352386475
result_1023.json,1023,1,1,High,image_evidence,18.232062816619873
result_1024.json,1024,0,0,High,text_evidence,7.074481964111328
result_1025.json,1025,1,1,High,text_evidence,27.91036081314087
result_1026.json,1026,0,0,High,image_evidence,15.991251230239868
result_1027.json,1027,1,1,High,text_evidence,15.42689037322998
result_1028.json,1028,0,0,High,text_evidence,12.835180044174194
result_1029.json,1029,1,1,High,image_evidence,14.214734554290771
result_1030.json,1030,0,1,High,text_evidence,7.044476270675659
result_1031.json,1031,1,1,High,text_evidence,10.12566590309143
result_1032.json,1032,0,1,High,text_evidence,10.670789957046509
result_1033.json,1033,1,0,High,text_evidence,16.35693073272705
result_1034.json,1034,0,1,High,text_evidence,26.419718027114868
result_1035.json,1035,1,1,High,text_evidence,16.719143629074097
result_1036.json,1036,0,0,High,image_evidence,26.31632399559021
result_1037.json,1037,1,1,High,text_evidence,9.255638599395752
result_1038.json,1038,0,0,High,image_evidence,14.989066362380981
result_1039.json,1039,1,1,High,text_evidence,13.622958183288574
result_104.json,104,0,0,High,image_evidence,29.538373231887817
result_1040.json,1040,0,0,High,text_evidence,18.176254510879517
result_1041.json,1041,1,1,High,text_evidence,14.723730087280273
result_1042.json,1042,0,1,High,text_evidence,12.262726545333862
result_1043.json,1043,1,1,High,image_evidence,11.872881174087524
result_1044.json,1044,0,0,High,image_evidence,10.812628030776978
result_1045.json,1045,1,1,High,image_evidence,18.31094741821289
result_1046.json,1046,0,0,High,image_evidence,10.637917041778564
result_1047.json,1047,1,1,High,text_evidence,14.736379146575928
result_1048.json,1048,0,0,High,image_evidence,15.435312747955322
